text,total
chúc,1099
giành,224
tuần,1350
nhúng,1045
tái,1459
gắng,40
chặt,124
loạitypes,1
trình,4846
chuẩn,2397
lộ,422
biêt,30
interfacetrước,1
dừng,2864
loạt,1254
nhá,271
tóm,822
tồi,206
chốt,268
rỗng,954
dần,1496
phàn,25
tử,141
đính,786
kèm,3104
vấn,6868
đánh,1264
sđt,27
cỡ,224
triệu,1066
đẹp,1657
trời,372
tệ,423
thẳng,484
quyển,223
sách,1623
mục,4630
tòa,73
dịp,94
hẹn,1307
dạng,8885
tỏ,123
vô,342
đối,371
câytree,1
trỏ,1401
lá,399
nhánh,1575
dầnchild,1
kĩ,508
vê,28
tiêu,420
tiếp,3781
cực,406
dại,31
rùa,18
què,8
suốt,1338
duyệt,1125
thống,92
trùng,1063
cầ,8
sức,246
lưỡi,38
mài,26
bóng,472
gấp,478
ngại,300
tặng,108
họp,1162
bàn,824
trễ,563
hưởng,157
lợi,514
đáp,68
miền,449
cụm,1296
tầng,1370
vận,50
ghép,528
kênh,858
túy,102
truyền,10186
đích,790
ngắt,456
dọc,823
thắt,40
chặn,825
cắt,869
kỹ,889
gắn,1584
thẻ,5729
phiên,846
vốn,578
trọng,849
nêu,973
sáu,95
tràn,251
đệm,933
xuôi,40
đẩy,1695
ngăn,859
lấp,183
nạp,783
quét,929
nội,346
tuyến,312
thư,803
cấm,129
gánh,155
đè,1240
tách,2305
siêu,613
kháchmáy,8
thoát,837
phím,1365
ánh,854
xạ,817
cổng,1714
mày,157
sẻ,153
đón,375
tá,156
toán,545
hạng,501
đc,1266
bắn,440
phát,1913
đếm,1099
dồn,92
vị,436
đĩafile,2
xếp,881
bền,106
mặt,2084
tờ,225
giấy,366
vẽ,2386
ngangdọcchéo,1
tâm,307
chiều,4093
màu,4734
dồi,13
iphân,1
diễn,1561
gốcnative,1
dây,375
cứng,335
iiinhững,1
ứng,974
cầm,175
ivcác,1
gỡ,401
thoại,73
cắm,312
sạc,105
vchiến,1
đám,1016
mây,1081
kém,942
hồi,1811
viicách,1
lượt,797
tiền,3527
viiicác,1
mắt,706
sập,146
khâu,168
vẻ,2704
mắc,512
câp,41
ảnh,9980
cuộn,605
phóng,334
phí,1041
ngừng,668
hủy,960
yếu,891
chiếm,871
giọng,360
phụ,749
đời,2191
chức,130
yêu,838
tĩnh,1240
quý,95
đỏ,712
âm,354
đúp,105
ổn,1047
gõ,2330
cá,257
thảo,49
mãn,40
sốn,2
nguyên,1326
khoản,544
ngắn,2068
dầu,58
cuả,98
méo,85
thời,387
giantài,1
nông,41
xài,476
ývô,1
tình,207
bọc,412
xuyên,268
đụng,168
đũa,42
bó,33
kẻ,1073
vè,20
liền,627
chuyền,96
hổ,139
trợ,243
thực,2453
hiên,134
kí,82
tứ,40
ép,347
sát,269
mapleleaf𝔑𝔥ậ𝔱,8
mời,522
rànghơn,1
thức,499
dậy,155
luyên,24
thuyên,22
tác,2621
gía,220
rùi,81
xót,215
nhóng,2
trống,1360
tỷ,243
tạm,1700
tài,169
nguyện,9
nối,1180
liên,190
đọcghi,68
đem,1100
môtj,2
thiếp,38
đứa,242
hộ,179
điền,1486
vân,534
vớ,31
lỡ,404
hòm,41
bật,2100
khổ,146
tổng,439
updatednó,1
thiên,87
tối,575
muộn,280
ngủ,247
hát,328
mỹ,322
vàng,342
bình,107
nửa,456
liêu,58
cháy,80
rừng,59
tuân,869
ủy,516
thác,288
cất,30
ngườu,1
lầm,256
xoá,1184
lạikết,5
thúc,68
xách,102
sổ,411
đồng,803
thuận,445
lát,162
kiến,281
giađược,1
ngưỡng,361
giới,324
trăm,664
thợ,111
đào,305
vụ,2747
khoá,606
hoá,479
hoạ,9
hỏng,471
nãy,207
viêt,80
cơm,120
cảnh,202
nghiện,37
chảy,59
bốn,543
khắp,347
chẵn,52
đen,454
tròn,358
chìm,44
bắt,1473
dụng,144
tiêp,38
cận,70
xét,919
giây,1941
chổ,28
requestgiây,2
phảy,14
đọng,18
đợt,171
sử,1140
lý,414
trẻ,347
chả,698
nè,266
luật,416
ópfisồ,2
rẻ,303
nhiêu,76
hạn,833
màn,442
việt,1206
mẹo,707
chứu,4
viewđơn,1
nhấp,1760
mặc,260
nổi,475
chỏ,17
nhằn,64
thêmsửa,10
tập,3988
thúcchưa,1
gôngiống,1
thêmsửaxóa,13
sếp,269
đêm,153
níu,6
não,258
ngôn,54
mát,22
đèn,264
hài,34
hòa,227
hằng,395
hành,216
xử,173
đố,52
bầu,92
giãn,88
nhậu,25
uống,245
quán,179
châu,144
âu,139
dạy,410
ngành,1068
gã,62
choáng,15
giày,43
quèn,9
ngưng,113
rửa,38
dể,138
hoàn,177
niềm,400
dán,388
ngầm,576
địng,25
nghĩa,488
tỉnhthành,8
phố,43
quậnhuyện,8
phườngxã,2
trích,1056
qđttg,2
ngoại,305
xãphường,1
lười,287
việnframework,19
ngán,18
ngẫm,32
lướt,407
mảngdanh,3
quăng,46
vọc,104
bự,41
dứoi,25
chủng,9
bất,171
cẩn,56
thuật,110
sơ,505
tãi,1
qúa,102
chìa,144
ghét,136
chân,546
mớ,156
gồn,7
đễ,76
thiế,10
kế,269
hợp,394
xây,191
bánh,234
mầm,7
mò,121
dọn,103
trội,9
trừu,16
tượngabstract,2
luônđược,2
cụ,156
mờ,512
đá,190
đùng,30
dân,228
chết,515
trực,62
tiếpgián,1
ngó,95
nắng,81
gió,231
tựa,74
thông,362
ngỡ,21
thiệt,55
lẹ,42
đõ,6
quyệt,1
phẳn,3
phẳng,155
nhẽ,54
kẻo,16
miệng,66
bẻ,103
ngầu,117
váy,53
kiêm,73
mắm,11
muối,20
cửa,228
tiến,457
chungđể,1
proposalnó,1
rác,412
bát,76
thụt,163
lề,277
đinh,267
tụi,53
nhẹ,780
tức,439
chém,176
thằng,1877
dụ,253
đuọc,5
foldẻ,2
pháp,235
đich,19
tín,27
năng,256
đế,116
đổ,418
nhắm,401
mãi,259
gà,159
ịch,9
vế,125
hẹp,88
cập,395
khải,25
niệm,52
xé,8
sảy,90
vỡ,664
nhấc,42
phòng,663
nhiễu,262
cào,48
chụp,1479
cú,249
bóc,105
ghé,220
thăm,200
máu,210
bí,84
kiếm,737
hối,3
trượt,258
kìa,43
tướng,158
bến,11
sạch,624
tôt,15
kép,176
hộp,894
liến,3
buộc,698
dàng,97
găp,19
ngàn,416
văn,382
bấ,2
nghề,402
tổ,53
trành,4
ôm,45
ném,531
tật,8
hô,34
giản,80
respóne,2
đông,337
buồn,216
lối,163
bão,105
lạnh,72
khô,25
mảnh,358
ghê,48
đà,39
lạt,5
hương,32
thở,73
bờ,14
hồ,68
xuân,41
thiệp,23
chở,32
làn,39
tuyết,84
tiết,86
mượt,245
sãn,19
ưu,569
đượcb,1
nở,23
rắng,16
sắc,98
hiễu,5
đoán,887
dính,253
mệt,123
trượng,18
cầu,252
chắn,99
sống,513
lí,55
giái,14
nhiệm,148
nhiệc,1
nhét,133
suất,128
tỉ,144
vườn,23
huớng,8
vói,16
kêu,125
giở,14
đẻ,102
trứng,142
loài,135
tượng,222
autoplaythuộc,1
băm,840
thứu,4
rò,19
rỉleak,1
gián,23
đoạnsuspension,1
luồngstreams,1
intermediateở,1
phátemitter,2
rời,522
nàyc,2
húng,5
bạch,11
thậpcollecting,1
gốcextremely,16
bạni,17
dụngreusability,2
rãnh,18
rỗi,15
đạng,24
bậttắt,36
quết,16
lện,36
toại,1
loè,3
thú,77
hẳng,8
cảm,100
mẽ,20
chán,201
ngấy,9
thô,270
phết,62
rẽ,100
thiết,237
dược,93
thị,621
kịp,367
mạch,329
xịn,278
xò,103
đập,132
đồn,34
gút,5
chóp,4
quái,78
filechỉđọc,2
đắp,15
chồng,334
mỏng,37
lênh,95
dướii,1
bộsynchronous,5
muón,2
mỳ,38
đại,170
gạchgiống,1
sánh,45
hiết,2
lắp,56
đócache,1
thân,498
điệu,24
kiện,117
kiệnevent,4
trục,662
javascriptthì,1
giời,64
ráp,21
alwaytạo,1
đùa,98
tést,3
biên,480
mũ,128
nữ,111
dới,1
tận,313
chừng,61
sài,70
nhẩt,5
làng,44
trộm,57
tường,323
lửa,224
vàoinbound,1
phépallow,4
phépdeny,3
vàocó,2
tựrule,1
quầy,23
đầusource,2
cuốidestination,1
nàoport,1
hứa,229
bézier,24
ôtô,14
đương,20
cày,15
thủy,184
làundefined,1
hại,171
cấnet,1
chuối,161
mỏi,35
vớt,4
đắt,123
thương,73
đau,139
ưa,39
năngmục,1
muốnthư,1
nháy,295
qủa,136
giẳ,2
ngần,51
kẹt,38
ngỏm,7
tý,175
dùngsetstate,1
hơnkhông,2
hơnnhấn,2
adaptersvà,1
thắng,151
tám,56
đượcreleased,3
đ,37
đức,63
phơi,16
nhiễm,74
mộtcollection,1
soạn,153
chống,649
vết,105
dụn,19
compositionthành,1
sạo,7
băt,32
trạng,83
vỏ,55
tơi,13
khổi,16
bời,85
sợ,413
ntại,1
mật,143
lấn,12
thiển,4
vãi,71
vật,320
mốt,24
lắc,54
chớp,28
cải,32
nguyền,9
cònflict,1
tuấn,28
bôi,53
phường,20
trừcộng,1
khoẻ,33
giấc,35
giỏi,574
thụy,15
điển,43
dặm,20
mét,18
đo,953
trúc,118
kích,204
thướt,4
sỡ,32
chếp,5
bĩ,2
độn,6
cứu,99
ổ,128
cững,3
đĩa,355
bới,163
dặt,26
lệch,261
khơi,32
tương,288
tứng,18
nhãn,839
ngyên,1
dười,6
thái,117
dày,86
nới,78
lỏng,47
viên,844
vạch,84
gìđóng,1
đội,1164
hỏiqa,1
mẫuprototyping,1
thuê,403
vuằ,1
bây,66
giờmở,1
tiênbạn,2
đua,111
quốc,137
hút,66
trúng,65
thưởng,185
quân,145
tím,80
quaviệc,1
khới,6
đay,16
hàmpublic,1
hỗ,80
trỡ,33
typeskiểu,1
sẩn,7
uxtrải,1
thuốc,204
thôigấp,1
cáchs,3
chứng,153
giám,11
dời,36
ôi,69
tù,43
mùi,84
hói,1
giấu,221
vét,23
cạn,48
cở,69
sở,88
phá,665
tần,49
củ,95
sữ,26
xác,202
lường,154
nghiệp,52
viện,158
bẫy,84
đâusweatsmilesweatsmilesweatsmile,1
hiệncác,1
việcmới,1
anhchị,29
bạnthay,1
nón,4
thừa,546
ấm,25
trà,98
hường,18
tẹo,41
ngâm,47
vuông,208
rông,9
chén,11
ngụm,5
chạysẽ,1
môt,174
kiểm,274
lắng,12
khảo,90
trách,57
lọat,2
nhũng,20
rỉ,10
rĩ,4
luông,28
khă,3
lăng,8
sựu,10
nhều,14
găng,8
mếu,2
dữu,4
câm,12
phưc,4
hiển,163
chô,6
đỗ,57
đậu,33
nát,27
đô,85
cốp,2
ngặn,3
đựng,28
zị,2
lụa,6
vững,238
cúng,43
khuyết,28
quạt,35
cánh,117
đỉnh,515
chương,523
xâu,157
ađừng,1
áp,84
đảo,115
dương,224
lùi,99
é,9
cáckítựsố,1
phương,226
tượngoop,4
vú,12
chó,242
cân,144
lông,27
sủa,21
nuôi,28
chữa,80
nhức,30
mèo,291
gâu,19
màng,16
chuyến,165
nhàn,33
tắctôn,1
hàngngười,9
độngứng,1
cốt,35
quản,58
lýkiểm,1
soát,57
nhântương,1
cụtiến,1
đạokiểm,1
buông,5
sóc,2
dở,106
sẳn,47
phẩm,71
sản,180
phầm,139
kỳ,334
lẩy,5
cuổi,6
luới,2
lẻ,81
tư,148
mội,84
nhới,1
thự,125
tời,18
dự,229
chuổi,43
cúa,7
hơnhãy,1
hội,62
trại,15
giỏ,282
chuyên,405
ốp,15
lưới,233
xương,71
chuỷen,3
lưuu,1
củacodecove,1
nhứo,1
muội,20
khỉ,56
óc,18
duyên,27
trôi,194
lúa,10
chửi,48
thề,31
truyển,64
hoạt,261
nghiã,9
táo,102
bữa,127
nấu,49
bít,39
tết,102
súp,5
miếng,56
món,388
bếp,27
tiêm,142
dử,28
gét,2
rỏ,33
nhơ,12
chấm,239
nhưngx,2
goị,7
củng,45
kêts,1
vùa,4
mơ,124
xúc,65
bùm,50
gờ,4
riếc,1
trênhình,1
rôi,12
hêm,3
zậy,5
quê,19
tuơng,84
hoặt,26
phápkhi,1
khóamở,1
crashhãy,1
nhói,2
dăm,4
môn,178
vã,19
chã,1
dò,133
ngàythángnăm,6
thần,56
refactoringgurubối,1
mũyêu,1
hè,51
quần,35
áovới,1
giãy,1
interfacecác,1
mìnhchắc,1
ngẻ,2
thèm,39
đầucuốitrêndưới,1
trâu,50
viền,280
bảy,62
thùng,137
lả,5
ngốn,87
đòi,77
chín,49
giường,38
trò,142
nàychúng,4
vể,64
căng,59
bổ,104
lô,73
tiên,188
dọi,2
góibundling,1
bundlegói,1
assetsthư,1
biều,15
pointđiểm,1
góibudling,1
hơnbigger,1
splittingtải,1
biếnglazily,2
tạicurrent,2
biếnglazy,1
biếnlazy,1
biếnlazily,1
thườngregular,1
góibundled,1
đầuinitial,1
góibundle,1
độngdynamic,3
biệtseparate,1
tviệc,1
dấn,17
hằn,4
lưư,2
trữ,58
tắc,51
gãy,48
bãi,50
nôngreactive,1
nôngreadonly,1
nôngref,1
cọmponent,1
nhứ,10
hiếm,355
trứoc,2
khiểm,3
cổ,120
hìnhgiây,2
pháttạm,1
whitenoisevà,1
chépdán,5
securitymiddlewaređó,1
whitenoisestoragecompressedmanifeststaticfilesstoragevào,1
requirementstxtnên,1
sư,71
ngố,3
bày,61
xậy,16
xám,338
uốn,11
nhật,847
trọn,49
nơron,272
lục,84
dải,112
thả,748
thính,15
ná,7
nì,5
khóc,44
thét,3
querymuốn,1
bù,145
tàu,107
thầy,114
xếpsort,3
dướivà,1
bằngkhác,1
độc,311
lâp,12
tuợng,7
ngàygiờ,7
cùi,109
mía,5
fédéral,1
dụngnếu,1
muôn,67
baì,6
lượm,47
nhặt,68
hoặch,1
cóc,3
nóng,164
điểu,125
thõa,22
kiên,70
kề,187
biếu,21
gỉa,40
đựa,17
doglistfragmentktchúng,1
nàybài,2
khời,21
tínhtrong,3
eventcách,1
bệnh,172
ràng,59
trã,1
ám,4
cấu,83
sét,35
sác,5
mềmtính,1
trí,254
phình,204
sóng,146
nghành,20
nhịp,51
ngực,5
phéo,6
lựa,60
tuý,1
nhạc,474
hít,36
mải,14
vơ,3
lôp,1
bơ,15
chội,2
hầy,13
vuốt,248
thảm,14
nẹh,1
nhàng,2
địnhđóng,1
băng,139
dòngcột,8
hàngcột,5
lũy,41
mù,50
disabilitycó,1
điếc,3
researchnghiên,1
biểu,151
thủ,63
bắp,69
synonymstừ,1
phạt,41
mọt,31
dứng,5
mụctệp,1
tưng,22
cảu,62
điạ,6
bám,87
sàn,259
dụa,1
xẩy,36
thưcompose,1
mượn,146
typeerrornếu,1
tiệm,70
ngón,197
tĩnhđộng,1
trôngcóvẻ,1
quà,106
ngườiláiđò,1
trồng,28
tâmcenter,1
heatmapbản,1
nhiệt,63
mscocongược,1
nhiêt,1
thỉ,11
chiểm,3
úng,6
nhégrinning,1
elliptíc,1
gởi,185
hóatuy,1
nhiên,129
nỗi,159
nhiện,24
rộ,9
tiễn,11
điếm,6
đói,47
thuôc,20
mềm,310
rát,11
cóp,6
đất,124
vãn,6
hậu,75
khúc,74
nhẽo,3
giờphútgiây,2
huỷ,188
lớpclass,9
hđt,4
đới,9
thoáng,57
nộ,8
hàngđiều,1
designmột,1
caomột,1
nhautập,1
nghiêng,154
mực,83
tông,59
quãng,84
rối,222
trừng,11
bân,2
thoái,9
mái,30
tắm,27
bắc,63
thỏa,45
vnđ,23
khiêm,3
qbình,1
thạnh,1
ngõ,7
qcầu,1
khăng,1
lạp,24
bố,85
châm,13
khuân,13
xoáy,23
khờ,2
lão,38
lảnh,1
đạo,106
họng,12
thăng,30
bận,149
thấu,16
đành,100
phù,62
beliefkhơi,1
lính,30
cục,186
vươn,34
nạn,12
hưu,30
úc,21
vàdockerignore,2
chình,31
hệt,34
sướng,79
khéo,14
giàu,89
kêt,75
vác,14
tủ,56
ngườihôm,2
dockerfilecái,1
chặng,140
bênh,8
chần,1
dũng,13
tênmixintrongfilemixinsscss,1
trưởng,90
thê,71
miễn,55
kiệm,10
nhỡ,60
bùng,10
diến,7
taọ,36
sứ,3
hàmthen,1
hoản,9
hảo,10
dùngđối,1
phốidelivery,1
vướng,39
mồn,1
lèo,1
khám,42
gậy,15
rà,20
cản,41
ốm,18
khàn,1
dơi,3
thục,21
dụngmáy,1
chủgiao,1
kịch,36
bảnhành,1
windowschạy,1
liệuphản,1
uổng,3
phái,39
giảiquyết,2
phú,17
chtshnó,1
nơ,154
chập,234
mịn,56
nhỏthu,1
vợ,70
bích,4
lều,4
lôi,88
giật,109
tít,16
dâm,5
vỗ,12
cưng,40
đượt,3
mỉm,10
cười,118
validatexác,1
dụnghệ,6
thẫm,4
trắngsáng,1
hịn,18
tácvới,1
phẩmdự,4
án,76
gác,42
mười,71
góivòng,1
đảm,56
khôngthực,2
hổi,6
nôi,29
hiều,111
xưa,91
tụt,26
dám,138
huyền,10
hiệnẩn,2
sêri,11
giử,6
đógrin,1
nóí,1
giảng,71
đhbkhn,6
biếnhằng,3
modulethư,3
lệvalid,1
chưá,10
vần,30
vơi,81
hãng,199
họa,27
tụ,16
phê,22
duyệttừ,1
chối,11
đun,144
ró,1
toát,9
hột,2
dũ,14
pythonmình,1
hìnhkhông,2
mũi,32
đéplê,1
óp,2
bọn,166
bụm,1
ẩu,16
đui,1
đển,52
nghía,12
rât,28
tiệp,14
tục,31
diện,79
vôt,1
gái,198
bốc,37
khộng,4
liệukhông,1
lân,8
nấc,15
típ,12
ngựa,33
lỗ,113
assurancekiểm,1
kệ,72
trùm,23
ruột,25
dé,1
chẹt,3
bẹt,2
búa,18
sỗ,9
loạn,49
nódữ,1
nợ,154
lịnh,4
triển,110
đoãn,3
vàothì,2
thứchừm,1
sốnhưng,1
bhưng,1
phúc,43
ngã,51
bợn,2
khôngggggg,1
đâuuuuu,1
ngạch,5
thất,31
bạiaccess,1
apivẫn,2
bở,63
vá,139
oẳng,2
đai,10
bứt,11
nhưu,21
curlbạn,1
thưa,52
túp,3
mê,17
chiến,98
hễ,10
gào,4
ẻm,9
rầu,4
nẽ,2
tât,18
giêng,3
làmjoy,1
naỳ,17
thứcthủ,1
nhẵn,6
nhám,7
gương,33
chiếu,144
nhựa,19
kính,84
rìa,25
đốm,17
khẩu,29
súng,21
râu,20
tuốt,8
pspecialcó,1
xíu,123
khoán,5
yên,72
giương,1
trởi,5
roài,21
hoăc,53
khít,14
lớnđặt,1
ảnhtuy,1
cyclegancác,1
tênbiếnchỉsố,1
nhậpxuất,7
intcác,1
lạc,79
serversiêu,1
truốt,3
sắccác,1
trộng,6
cầucách,1
lóp,1
tượnghàm,1
thược,13
mộtmodule,1
noài,2
tênhàm,1
forvòng,2
lội,16
phpiniđể,1
đôla,9
quyề,1
măcự,1
dùm,11
phunsụtcốt,1
mún,5
tồn,53
trùy,7
đòng,5
bừa,26
ngấm,14
phạm,152
mách,14
mộthai,1
ngóc,5
tốc,34
độmili,1
hìn,2
vạn,41
sò,40
loadbiên,1
đí,1
hoài,36
trốn,14
thầycô,1
nảy,72
triết,5
dẻo,4
nến,52
khuôn,24
bóp,16
ẩm,3
bỏng,3
sữa,185
constvề,1
kì,118
đặng,11
só,17
kê,73
dụg,2
voilà,4
gìscreamscream,1
nghịch,124
mớihoặc,2
nàometalmetalmetalmetal,1
diệt,62
mêm,19
véc,5
tơ,15
môi,98
bỉm,6
mứt,6
thịt,50
bò,90
siệu,1
mì,32
tôm,5
tậpmẫu,1
cậy,12
tỉa,81
bạc,36
chững,8
hớn,14
rưỡi,13
trền,5
bỉ,12
caì,3
bảnpublishing,1
rợ,3
vố,6
layerlớp,2
sẵ,5
basenền,1
tảng,91
lừa,145
tèo,56
sốt,14
tè,20
mửa,1
quải,1
chè,6
ùa,2
cành,48
muợt,3
bê,35
vặn,13
minsố,1
liệudatabase,5
virút,19
truyềnvà,1
ngắm,30
webnhững,1
sương,62
stakeholdercác,1
thập,21
phước,11
nhiểu,44
phức,71
tàm,2
hoạc,18
vơí,5
nhấtnhỏ,5
bét,7
biễu,20
đomain,1
lật,102
ó,15
sầm,1
vứt,88
ngĩa,7
chưuá,1
nhâp,20
thkiểm,1
mênh,1
thtrường,1
thkhông,2
mọng,8
lách,11
biếnnội,1
rãng,2
túi,92
xích,21
xàm,35
xí,38
tôn,11
đươc,179
đấm,18
lưng,65
rủ,17
ngửi,14
thíchlưu,1
hẵn,37
khôn,29
bồ,17
nhạn,6
hiêụ,1
cảmsau,1
đẫn,37
tành,4
đung,6
bút,110
vụn,9
cắp,42
khôngvv,3
vé,196
cáu,15
ngụp,1
ẩnnamespaced,1
biếnhàm,9
gợi,85
ngọc,45
cuôi,4
đóngmở,27
tươi,44
xíuuu,2
bạnkhi,2
tìn,13
trược,30
thuông,4
ngời,7
featuretên,1
nguồi,7
nguồikhi,1
thủa,20
diệu,162
đê,91
ụng,22
chúnote,1
mông,20
giơ,16
tã,2
kẹp,20
caluã,1
luận,84
nghèo,27
giáp,11
nế,5
nổ,43
lực,84
chí,106
triền,50
vẫy,5
lữu,33
lầntháng,1
lướp,3
thểbiết,1
hạnkhi,1
cácfile,1
nhó,4
phài,7
bải,7
rồistuckouttonguewinkingeye,1
xăng,22
đăt,53
quyến,6
thếm,7
sảm,4
đấu,64
analogwritegiá,1
đăn,5
nghiêm,28
tănggiảm,34
tổngsốpodscần,2
ceilsốpodhiệntại,1
thôngsốhiệntại,1
thôngsốmongmuốn,1
ảnhxử,1
margindường,1
teamsẽ,1
hưũ,5
ích,84
dổi,22
muộndeep,1
chún,8
huế,16
đh,17
iện,2
khácmặc,1
phiển,18
lauchẻ,1
dươi,6
xuât,11
dộng,20
thángnăm,3
miên,3
dĩa,22
thìa,6
đónhư,1
lênxuống,5
lớnnhỏ,5
triến,4
lẽo,1
lẽ,207
vờ,9
hìnhphương,1
phưng,1
triên,26
mộ,48
phổ,104
đứt,81
tựcụm,2
xyzđây,1
bswrạkhfshvs,1
xngoặc,1
xychỉ,1
xykhớp,1
nkí,2
nmkí,1
bkí,1
bkhớp,1
tựu,26
đên,63
dưươ,1
cầần,1
trân,8
hoặcvà,5
gắt,9
bùi,10
lì,6
vải,12
gồng,5
ngốc,19
tínhgiá,4
lễ,51
performancehiệu,7
concurrencyđồng,1
analysisthống,1
issuescác,1
nguyêntài,1
kông,4
khước,1
soliditykhá,1
loạtvài,1
ghế,78
biếtnếu,2
tôichúng,1
nàonền,1
mớicác,1
quảchủ,1
dungcó,1
phímagento,1
toánkể,1
nềntảng,1
mẽjoomla,1
quỹ,95
khácwordpress,1
phpnhận,1
mậtdrupal,1
giớidrupal,1
khácmột,2
hoạttypo,1
chàng,57
ừa,2
năngperformance,4
testingkiểm,7
nuột,6
biển,178
trương,66
sô,57
đỗi,10
gảin,2
thoá,1
thiện,64
dưa,19
dã,25
vòi,8
gỉan,6
đù,6
ráng,15
cạ,2
nàymở,1
lầntính,1
xép,3
xừn,1
nhaunhưng,2
biệt,141
điêm,9
collectión,1
gập,32
gềnh,2
sỏi,5
nhăn,8
nhụi,1
nòa,6
xào,12
kiết,10
tệpcác,1
gợn,10
chộ,1
diều,21
chũng,52
rẩt,11
lún,3
nộp,81
observablemình,2
subscribebởi,1
thôivì,1
hồng,52
kiều,14
trườngcác,1
tạng,4
okdưới,1
lộn,16
tòan,12
tả,66
bắng,20
họcvà,1
tiêt,3
chưc,3
vụhay,1
bât,13
hắn,116
xánh,1
nướchiện,1
cự,11
nhăm,8
vủa,11
oài,8
hư,22
iền,1
imageshình,1
forecastdự,1
passedthông,1
endpointsđiểm,1
conditionđiều,1
mọc,41
lặn,23
consumetiêu,1
thụ,13
mộtsingle,2
đầuchúng,1
mộtinstance,2
lêntải,1
soátđầy,1
móc,45
quấn,11
tiìm,1
ttương,2
cà,24
tống,21
vả,39
phuơng,70
mềmchương,1
trìnhứng,1
dụngsản,6
lýxử,1
trắngđen,2
verificationxác,2
validationthẩm,1
nlần,1
bẳng,49
trần,34
nhộng,2
lởm,44
dọa,9
thối,36
hửm,1
hố,17
chuốt,6
cầnkhông,1
quảa,1
chắp,3
tằm,1
nhả,33
tầu,2
áo,87
tàn,10
ưukhuyết,2
cởi,4
dập,14
hơna,1
rành,44
măt,6
nuốt,22
mâm,4
sọt,3
thơ,38
bá,73
điêu,22
hiệp,11
ập,8
gỉam,5
namviệc,1
trắc,122
dánh,28
trịnh,8
phẩy,22
hđh,186
dốc,63
ròng,3
