text,total
この書き方は上の書き方と同様です,1
確定されるipに送信する時にrouting,1
tableに送信路を記録する,1
どのコンピューターでも送信路をわかるわけではない,1
この場合では,1
gateway経由でデータを送信する,1
家庭など規模が小さいシステムではrouterはgateway機能を含めるけど,1
大きなシステムでいつもgatewayとrouterは同じip,1
addressわけではない,1
コマンドでip,1
該当subnet,1
gateway情報を把握できる,1
また,4
自分で設定することが出来る,1
この記事では主なcoreserviceを概要的に説明する,1
eccは弾性,1
elastic的なコンピューター,1
computeクラウド,1
cloudという略名です,1
自分の需要のためにインスタンスを作成してからサービス定義し展開する,1
作成手順詳細はです,1
consoleにログイン,1
regionを選択,1
instanceを起動,1
imageを選択,1
instanceタイプを選択,1
instance設定,1
storageを追加,1
tagを追加,1
instanceが複数ある場合には区別するためにinstance名,1
環境等情報を表す,1
groupを設定,1
userはhttp,1
sshなどawsに繋げる手段を定義する,1
は,9
業界をリードするスケーラビリティ,1
データ可用性,1
セキュリティ,2
およびパフォーマンスを提供するオブジェクトストレージサービスです,1
詳細はを参考してください,2
利点,2
セキュリティが高い,1
幅広くサポートされているクラウドストレージサービス,1
アクセスが簡単,1
はecと共に使用するために設計された,1
スループットとトランザクションの両方が集中するどんな規模のワークロードにも対応できる,1
使いやすい高性能なブロックストレージサービスです,1
データ移動するためにamazon,1
スナップショット共有できる,1
作成しアタッチ仕方,1
ecサービスを選択,1
タグの下に,1
ボリューム,1
を選択,1
ボリュームの作成,1
ボタンを押下,3
情報を入力,1
instanceを選択,1
を押下,1
ecを選択する,1
sの違い,1
同じregion,1
異なるregionでも大丈夫,1
ec限界無し,1
一つecだけ繋げる,1
複数ecに繋げる,1
データ種類と問わず,1
zoneの個以上を持つ,1
物理エリアという意味です,1
regionによってタイムラグとコストが異なるので,1
instanceを作成する時にどのregionを選択かを検討が必要,1
リージョンごとにアベイラビリティーゾーンと呼ばれる複数の独立した場所があります,1
インスタンスを起動するときに,1
アベイラビリティーゾーンを自分で選択するか,1
自動的に選択されるようにできます,1
インスタンスを複数のアベイラビリティーゾーンに配布する場合は,1
つのインスタンスで障害が発生したら別のアベイラビリティーゾーンのインスタンスが要求を処理するように,1
アプリケーションを設計できます,1
同じregionにデータセンターのコレクションである,1
一つのセンターで障害が発生する時にも残りのデータセンター間の接続も維持する,1
enduserにcontentを送信する,1
userからリクエストが自動的に最近のedgelocationに判断し送信する,1
vpcはaws大切なものの一つです,1
説明は簡単ではないので,1
分けて紹介させていただく,1
作成方法,1
ecのdashboard画面にて,1
セキュリティグループ,1
クリックし,1
セキュリティグループを作成,1
以下通りに情報を入力する,1
セキュリティグループ名,1
どのvpcに属するかを選択する,1
inbound指定,1
以下の写真にてsshからアクセスを許可にする,1
outbound指定,1
以下の写真にて無制限にoutbound出来ると設定している,1
instanceに付ける,1
ecのdashboard画面にて②で選択したvpcに属するecをクリックし,1
セキュリティグループ変更,1
選択し作成したsecurity,1
groupを選択する,1
一つのgroupは複数のinstanceに付けることが出来る,1
基本設計,1
相談,4
⇒,82
┌,6
─,268
│,132
⊆,15
∈,27
£,3
😘,1
😜,9
🤪,7
😋,13
└,35
├,79
𝗦𝘁𝗮𝗸𝗲𝗵𝗼𝗹𝗱𝗲𝗿,1
🖍,4
−,102
平美和,1
❌,43
✅,145
▹,20
▪,49
⧫,5
¥,6
ニコニコ動画,1
⁰,1
⚛,4
🙏,2
🙁,5
😭,21
🙂,26
🤣,45
🚀,10
😱,12
🦷,1
🔥,10
🎊,3
💥,5
🤩,4
☺,6
⊞,2
⇔,6
ϵ,28
ŷ,16
🔐,1
kπ,1
mōd,1
😞,4
«,67
»,73
▸,37
➡,8
ƒ,1
λn,3
φn,6
n¼,1
≡,2
kφn,1
φnta,1
°,29
ð,3
☹,2
🤔,35
🤗,13
λerw,1
§,11
◯,14
,1
⇦,1
⇨,1
⇩,1
✊,5
■,71
😕,7
😺,57
😸,24
👉,45
lünborg,1
✔,29
⚠,18
ℹ,1
🚫,3
³⁰,3
σ,14
アロハ,1
ａｌｏｈａ,2
！,33
ｱﾛﾊ,1
ｂａｎｈ,2
ｎｇｏｔ,1
płoński,2
🥭,1
🍎,1
🍑,1
håstads,1
✌,5
◦,2
∼,11
😰,2
🐞,1
♥,25
∑,9
βisi,1
βi,1
♣,11
⇣,2
±,31
😿,10
🎁,1
ˈænəmeɪ,1
̲,1
søren,1
👏,43
🏻,3
🔴,27
xₜᵢⱼₖ,1
¼,2
≤,50
ﬂaws,2
😶,1
👤,1
swiftʼs,1
установка,1
🤧,2
🥰,9
‣,7
♪,6
．,1
𝑎𝑐𝑡𝑖𝑣𝑎𝑡𝑖𝑜𝑛𝑛,1
𝑋𝑖𝑗,1
𝑖,13
𝑗,6
𝑤,3
𝑐,1
𝑓𝑖𝑗,1
𝑃𝑖𝑘,1
𝑘,8
𝑋𝑖𝑘,1
𝑋𝑖,1
𝑤𝑖,1
𝑤𝑗,1
𝑏𝑖,1
𝑏𝑗,1
𝑃𝑦𝑥,1
𝑋,4
𝑓𝑗,1
𝜆,1
𝑦,2
𝑏,1
𝑥,2
𝑠,4
𝑡,9
𝑥𝑡,7
𝑦𝑡,3
𝑠𝑡,2
𝑓𝑧,1
𝑔𝑧,1
𝑤𝑡,1
𝑦𝑚𝑡,1
𝑚,1
𝑦𝑘𝑡,1
𝑑𝑒𝑠𝑖𝑟𝑒𝑑𝑡,1
ℎ𝑡,4
𝑖𝑡,1
𝑡𝑎𝑛ℎ,1
𝑇𝑟𝑎𝑛𝑠𝑓𝑒𝑟𝑖𝑛𝑔,1
𝑡𝑖𝑚𝑒,3
𝑊𝑎𝑖𝑡𝑖𝑛𝑔,1
𝑃𝑟𝑜𝑐𝑒𝑠𝑠𝑖𝑛𝑔,1
🍻,3
€,8
↑,21
∅,3
ludwigmaximiliansuniversität,2
münchen,4
für,4
oettingenstraße,2
δx,4
😽,15
🥴,4
😻,4
❤,15
―,5
naïve,7
⦁,21
😬,1
łaszkowicz,1
©,10
📱,1
👓,2
🎮,1
📦,3
📹,1
🌐,1
🔄,1
📽,1
📲,1
🙄,7
🤖,3
🚧,3
🔨,1
看板,1
アイ,1
ウエ,1
オカ,1
キクケ,1
気持ちkimochi,1
🎶,3
😹,8
🥳,1
🤯,5
🤷,5
‍,14
♂,5
›,19
🕵,2
≠,8
😯,2
😙,1
φx,1
φy,1
sørensen,13
‎,7
🎨,1
🧩,1
🧮,1
😔,2
🤝,1
💪,3
⬌,2
ðplatform,1
¯,22
ツ,12
🙃,5
☞,6
ﾟヮﾟ,3
要望要求要件,1
仕様書定義書,1
予定通り進まないプロジェクトの進め方,1
基本設計basic,5
design詳細設計detailed,1
要望demands,5
要求requirements,5
要件requirements,5
詳細設計detailed,4
µs,1
ħ,2
∗,10
😵,7
日本語,1
görli,1
🍨,8
📷,2
🎹,2
😦,3
🤨,2
►,26
̀,5
＜,14
＞,17
➞,3
🤦,4
🙇,3
🤒,2
↔,1
‌,242
‏,5
̇,2
📝,1
💬,1
👻,2
𝜙𝜎i𝑐i,1
塗りつぶしの意味は何でしょうか,1
塗りつぶし,1
塗りつぶしの意味,1
塗りつぶしとは,1
とは,1
define塗りつぶし,1
送り状と納品書の違いを教えて下さい,1
送り状,1
納品書,1
送り状と納品書の違い,1
送り状と納品書の違いとは,1
大規模のフォントメーカー,2
大手のフォントメーカー,2
大きなフォントメーカー,1
自業自得,1
自自得,1
全角,3
半角,2
😇,1
↓,27
♀,5
👀,15
🏆,2
🤓,6
💯,3
？,64
с,1
ñ,2
ç,1
👋,1
🎇,4
御,1
†,9
lütke,1
ソックス,1
靴下,1
📼,1
🐒,2
🃏,2
🥟,4
🐢,4
🐎,1
🦶,3
😠,5
🐐,2
🌞,7
🔓,8
🍍,2
🐏,11
💴,3
🔔,2
🔑,4
🌃,5
👌,9
来てくれるかな,1
モルモット君,1
∣,4
dα,1
😥,1
👩,5
👦,2
『,19
』,19
☃,2
™,13
ḁ,2
❖,12
🙌,4
c₆h₆n₁₂o₁₂,1
👨,4
🔬,1
vjuː,4
π,7
➜,6
💩,3
＠,1
主にget,1
driveは,1
calendarは,1
directoyは,1
on²,1
▶,3
⌥,39
⌃,32
↩,2
„,5
͡,4
͜,2
ʖ,2
😌,7
🚘,3
😡,9
😒,2
🎆,3
差分が更新され,1
tableが行われるmigrationファイルが生成され,1
repository等もアップデートされます,1
françois,1
ı,1
○,44
どっち,3
🚨,3
🤐,2
🌑,1
🌒,1
🌓,1
🌔,1
🌝,1
🌖,1
🌗,1
🌘,1
🌎,4
🌍,1
🌏,1
🕐,2
🕑,2
🕒,2
🕓,2
🕔,2
🕕,2
🕖,2
🕗,2
🕘,2
🕙,2
🕚,2
🕛,2
🕜,1
🕝,1
🕞,1
🕟,1
🕠,1
🕡,1
🕢,1
🕣,1
🕤,1
🕥,1
🕦,1
🕧,1
🔒,2
appliсation,3
✨,3
💀,5
受付,1
株式会社,10
の名前,1
来訪通知,1
様が来訪されました,1
‑,7
straßenübergangsänderungsgesetz,1
smorgåsbord,1
ß,3
ä,2
ö,3
å,8
丂,2
丄,2
丅,2
丆,2
丏,2
😫,1
trаnspаrent,1
θn,2
�,4
∩,10
∪,11
⩽,2
‖,8
😏,1
◾,4
🤫,1
🎬,1
schwarzmüller,1
🡪,1
,1
,1
,1
￼,7
√,12
🙀,3
,2
😣,1
☑,14
□,18
🛠,1
♻,1
⚙,1
🤞,1
,5
⏱,1
💆,1
progress進行中,1
waiting対応まち,1
complete完了,1
課題の追加,1
件名name,1
詳細detail,1
追加add,4
ドメインdomain,1
ipアドレスとは,1
をわかりやすく解説します,1
̂,1
λcoord,1
λnoobject,1
⌊,1
⌋,1
𝑝,2
ℎ,1
𝑚𝑜𝑑,1
𠮷,1
🏁,2
🌷,3
︎,5
⬇,4
⬆,1
⬅,1
❮,2
❯,2
👁,1
いまさら聞けない,1
apiとは何か,1
基礎の基礎を学ぼう,1
佐野裕史,1
こんにちは,1
これは英語を使用しています,1
🖖,2
⊥,1
ﬁxed,1
⑦,5
⑧,5
⑨,4
⑩,1
👮,1
✗,10
ស,18
ួ,6
្,40
ត,5
ី,2
作成したmodelの読み込み,1
routeのインポート,1
appにrouteを設定する,1
appを特定のportでlistenさせる,1
アジャイルサムライ,6
分で把握,1
ポート番号とは,1
と代表的なポート番号まとめ,1
řehůřek,1
,8
‾,2
n²,2
－,7
‸,1
ლ,1
🔎,1
🤭,2
➕,24
➖,16
めかぶ,1
ワッショイ,1
お神輿,1
和して背負う,1
和背負え,1
和し背負え,1
背負う,1
しょう,1
⍺,1
michał,1
façade,3
血液型自分の説明書,1
😗,5
✱,2
ϵhϵeeϵllϵlϵoϵ,1
ϵhϵee,1
初心者向け,1
gitってなに,1
①まず流れを理解する,1
コードなし,1
ω,11
fω,1
★,183
󟿽,1
お電話が遠いようなのですが,1
申し訳ございません,2
少しお電話が遠いようでございます,1
もう一度言ってください,1
よく聞こえません,1
お電話が遠いようですので,1
一旦切らせて頂きます,1
申し訳ございませんが,2
もう一度御社名をお願いいたします,1
少々お待ちください,1
時間がかかるのでこちらから折り返す,1
社外の人に対して,1
担当者の具体的な行き先や自宅住所,1
携帯番号などはうかつに知らせないようにしてください,1
に続く言葉は,1
席を外しております,1
外出中しております,1
電話のメモは要点をおさえることが大切なので,1
whyのwに,2
いくら,1
どのくらい,1
のh加えたwhでメモをしましょう,1
電話を受けた日時,1
こちらの担当者,1
電話がかかってきた人の,1
氏名,3
相手の会社名,1
部署名,1
名前,1
連絡先,1
電話を受けた人の氏名,1
この場合は自分,1
相手の用件はどんなことで,1
どのように対応したのか,1
こちらから折り返すのか,1
折り返し不要なのか,1
折り返しの場合は,1
都合のよい時間まで記載,1
すべてのプログラマ必見,1
リトライ処理の効率的な手法,1
それは,1
▀,1
🏋,1
五十,1
音,3
順,2
gojūon,1
あ,6
い,5
う,8
え,5
お,5
五十音gojūon,1
か,2
き,2
く,2
け,2
こ,2
さ,2
し,2
す,2
せ,2
そ,2
た,5
ち,3
つ,4
て,3
と,4
な,2
に,5
ぬ,2
ね,2
ひ,4
ふ,4
へ,4
ほ,4
ま,2
み,2
む,2
め,2
も,2
や,4
ゆ,3
よ,3
ら,2
り,2
る,3
れ,2
ろ,2
わ,2
を,2
ん,2
ー,7
ラーメンrāmen,1
らあめんrāmen,1
チーズ,1
ちいずchiizu,1
スープ,1
sūpu,1
すうぷsūpu,1
ケーキ,1
kēki,1
けえきkēki,1
ソーダ,1
sōda,2
そおだ,1
かどkado,1
カードkādo,1
カード,1
かあど,1
ぁ,3
ぃ,3
ぅ,4
゛,3
ぇ,3
ぉ,3
が,2
ぎ,1
ぐ,1
げ,1
ご,1
ざ,1
じ,1
ず,1
ぜ,1
ぞ,1
だ,2
ぢ,2
っ,3
づ,2
で,3
ど,2
ば,5
ぱ,4
び,3
ぴ,2
ぶ,3
ぷ,2
べ,3
ぺ,2
ぼ,3
ぽ,2
ゃ,3
ゅ,3
ょ,3
濁音dakuon,1
濁音,3
行,5
hagyō,2
かけいkakei,2
かげんkagen,1
半濁音handakuon,1
半,1
てんぷらtenpura,2
てんびんtenbin,2
てんぴtenpi,2
拗音yōon,1
拗,1
yōon,1
yagyō,1
きんきゅうkinkyū,2
きんきょうkinkyō,2
きんきちほうkinkichihō,2
促音sokuon,1
促,1
tagyō,1
しっぱいshippai,2
しゅっちょうshucchō,2
しょっぱいshoppai,2
agyō,1
スウェットsuwetto,2
スウェーデンsuwēden,2
スヴェンソンsuvenson,2
schönfelder,1
〖,3
〗,3
xnθ,2
pxnθ,1
logpxnθ,1
μ,3
🍅,1
ondřej,2
［,1
］,1
お待たせいたしました,2
三鈴は職場の恥,1
もしもし,1
お電話ありがとうございます,1
でございます,2
はい,3
▲,2
部,1
山田が受けました,1
不真面目な会社,1
いつもお世話になっております,3
失礼ですが,1
お名前をうかがってもよろしいでしょうか,2
恐縮ですが,1
お名前をお聞かせいただけますか,2
お名前頂戴できますか,1
頂戴する,1
もらう,1
🚗,1
新聞,2
🚬,1
💕,1
プロを目指す人のためのruby入門,1
∝,11
̣,6
😐,3
山本,1
燿司,1
👆,2
～,9
👇,7
,1
メイキング,1
オブ,1
ピクサー,1
創造力をつくった人々,1
ᴥ,9
❍,6
ʋ,7
໒,5
✪,4
⋏,2
̿,6
･,6
▽,5
ｪ,1
ﾉ,1
申されていました,1
おっしゃっていました,1
ご拝受いただければ幸いです,1
拝,1
拝見させていただきました,1
拝見しました,1
拝見されましたか,1
目を通していただけましたか,1
ご覧になりましたか,1
などが適切です,1
お客様がお越しになられました,1
いらっしゃいました,1
お見えになりました,1
一緒に参りましょう,1
参る,1
お伴いたします,1
ご案内いたします,1
どこへ参られますか,1
どこかへ行きますか,1
いらっしゃいますか,2
行かれますか,1
様が参られています,1
様がお見えです,1
本日は休みをいただいております,1
本日休みを取っております,1
いただく,1
様でございますね,1
様でいらっしゃいますね,1
ございます,1
田中でございます,1
営業部の鈴木でございますね,1
あなたが申されたように,1
申す,1
言う,1
あなたがおっしゃいましたように,1
あの件についてうかがっていますか,1
うかがう,1
聞く,1
お聞きになる,1
あの件についてお聞きになりましたか,1
どうぞお召し上がり下さい,1
どうぞ召し上がって下さい,1
花に水をあげる,1
あげる,2
やる,1
水をやる,1
犬にエサをあげる,1
犬にエサをやる,1
おられますか,1
おる,1
どうかいたしましたか,1
いかがなさいましたか,1
どちらにいたしますか,1
どちらになさいますか,1
λ,9
😈,1
ˈɛs,1
kjuː,1
ˈɛl,1
ˈsiːkwəl,1
ごくごく,1
がぶがぶ,1
ふかふか,1
ふわふわ,1
にこにこ,1
にやにや,1
あっさり,1
こってり,1
ピッ,1
チン,1
ひゅーひゅー,1
びゅーびゅー,1
ぴゅーぴゅー,1
へとへと,1
くたくた,1
ふらふら,1
くらくら,1
こんこん,2
ごほごほ,1
ぞくぞく,1
むかむか,1
すっきり,1
さっぱり,1
ぐうぐうguuguu,2
ぺこぺこ,1
ピンポーン,1
ブー,1
じんじん,1
びりびりbiribiri,1
じーんjin,1
ほろりhorori,1
ちらちら,1
すらすらsurasura,1
ぺらぺらperapera,1
あははahaha,1
うふふ,1
,1
,2
¹⁰⁰,2
μs,3
λλ,1
θj,1
εj,4
εt,2
🧙,1
sørensendice,1
⚽,2
のほう,1
ご注文のほう,1
商品のほう,1
おかしい表現,1
私のほうで担当いたします,1
私が担当いたします,1
お水のほうをお持ちします,1
お水をお持ちします,1
書類のほうをお持ちいたします,1
書類をお持ちいたします,1
からお預かりします,1
円からお預かりします,1
から,1
円をお預かりいたします,1
御社について存じ上げております,1
御社について存じております,1
存じ上げている,1
人,1
お体をご自愛くださいませ,1
体を大事にする,1
体,1
ご自愛くださいませ,1
になります,2
に成る,1
お手洗いは,2
突き当たりになります,1
突き当りにございます,1
円のお返しになります,1
円,1
お返しいたします,1
会議の資料になります,1
会議の資料でございます,1
各位様,1
各位,2
皆様,1
お客様各位,1
役職名,1
様,5
社長,1
社長の,1
お名前をちょうだいできますか,1
お名刺を頂戴できますか,1
とんでもございません,2
とんでもない,1
ない,1
ございません,1
いいえ,1
とんでもないです,1
今お時間よろしかったでしょうか,1
よろしかった,1
今お時間いただいてもよろしいですか,1
商品はこちらでよろしかったですか,1
商品はこちらでよろしいですか,1
³²,2
わあわあwaawaa,1
きゃあきゃあkyaakyaa,1
かんかんkankan,1
ぷんぷんpunpun,1
がみがみgamigami,1
ごしごしgoshigoshi,1
きゅっきゅっkyukkyu,1
ぶうぶうbuubuu,1
ぶつぶつbutsubutsu,1
がたがたgatagata,1
ぐらぐらguragura,1
おぎゃあおぎゃあogyaaogyaa,1
えーんえーん,1
わんわんwanwan,1
にゃあにゃあnyaanyaa,1
ぴーぽーぴーぽーpipopipo,1
うーuu,1
ざーざーzaazaa,1
しとしとshitoshito,1
ごろごろgorogoro,1
ころころkorokoro,1
🏅,1
報連相,1
報告,3
連絡,3
アップカフェup,1
⇄,1
σw,2
⊺,7
⇡,1
🐣,20
ご苦労さまです,2
お疲れさまです,1
了解しました,1
承知しました,1
かしこまりました,1
しばらくぶりです,1
お久しぶりです,1
ご無沙汰しておりました,1
いつもお世話様です,1
お世話様です,1
ご一緒します,1
ご一緒,1
一緒にいくか,1
お供させていただきます,1
大変参考になりました,1
参考,2
大変勉強になりました,1
すいません,2
すみません,2
ありがとうございます,1
私には役不足です,1
力不足,1
力量不足,1
わが社,1
弊社,1
当社,1
なるほどですね,1
なるほど,2
そうですね,1
おっしゃるとおりです,1
おわかりいただけたでしょうか,1
わかりましたか,1
ご理解いただけたでしょうか,1
お座りください,1
犬のお座り,1
お掛けください,1
どちら様でしょうか,1
誰ですか,1
どうしますか,1
どうする,1
いかがいたしますか,1
させていただいております,1
させていただきます,1
いただいております,1
値上げさせていただいております,1
しております,1
値上げしております,1
💡,12
hønsi,1
水,1
πrad,2
わくわくwakuwaku,1
うきうきukiuki,1
わいわいwaiwai,1
がやがやgayagaya,1
きらきらkirakira,1
ピカピカpikapika,1
パチパチpachipachi,1
めらめらmeramera,1
すやすやsuyasuya,1
しんshin,1
ずらりzurari,1
おろおろorooro,1
うろうろurouro,1
カシャッkashaa,1
パチリpachiri,1
ガタンゴトンgatangoton,1
カンカンカンkankankan,1
😝,4
🔸,1
🔶,1
␣,8
з,2
поверненням,2
要件定義,2
要望,2
yōkyū,2
要求,2
yōken,2
要件,2
＝,4
ϕixj,1
ϕx,2
☉,2
▵,1
凸,1
鋸,1
🔋,1
△,19
‟,36
￣,4
ヮ,2
〃,2
＾,2
チーム開発フロー,1
はじめに,1
プログラミングを始めたばかりで,1
gitの使い方にそこまで慣れていないメンバーで構成されたチーム開発を想定しています,1
したがって,1
masterブランチから機能ごとにブランチを切って開発をしていくといった開発フローの紹介となります,1
開発ブランチの作成と移動,1
masterブランチから開発ブランチを切り,1
その開発ブランチに移動する,1
開発ブランチ上で開発,1
作成した開発ブランチで開発を行う,1
ステージングエリアに変更を追加,1
開発ブランチで編集した内容をステージングエリアに加える,1
ローカルリポジトリに変更をコミット,1
ステージングエリアに加えた内容をローカルリポジトリにコミットする,1
リモートリポジトリに変更をプッシュ,1
ローカルリポジトリにコミットした内容をリモートリポジトリにプッシュする,1
tutorialでは,1
ローカルで開発ブランチをmasterブランチにマージしてからプッシュしていたが,1
ここでは開発ブランチをプッシュし,1
github上でレビュアーの了承後にmasterブランチにマージする,1
github上でプルリクエスト,1
開発者はgithubを開いて,1
自分のブランチに対してcompare,1
requestをクリックして,1
プルリクエストをする,1
プルリクエスト画面の右サイドバーで,1
reviewerの欄にレビュアーの名前を登録すると良い,1
レビュアーによるプルリクエストのレビュー,1
通知を受けたレビュアーはそのプルリクエストをレビューする,1
問題なしの場合は,1
プルリクエストページ上でapproveをする,1
labelに自分の名前のラベルを追加すると良い,1
問題ありの場合は,1
プルリクエストページ上でcomment,1
changesをして,1
開発者に知らせる,1
github上で開発ブランチをmasterにマージ,1
全レビュアーがそのプルリクエストを承認したら,1
github上でmergeする,1
◡,2
﹏,1
◕,2
ϕxx,1
１,4
２,2
３,1
４,2
５,1
６,1
７,1
８,1
９,1
１０,1
１１,1
１２,1
１３,1
１４,1
１５,1
１６,1
１７,1
１８,1
１９,1
２０,1
２１,1
２２,1
２３,1
２４,1
２５,1
２６,1
２７,1
２８,1
２９,1
３０,1
３１,1
３２,1
３３,1
３４,1
３５,1
３６,1
ご参考になれば,3
ご覧をいただきありがとうございました,3
²⁶,3
d²,2
h𝑖,1
𝑛,3
𝛽,3
⛓,1
📐,1
✖,2
ˈtwɪlioʊ,1
jeanfrançois,3
✾,4
öner,1
vɪm,1
☒,1
,2
igˈzajəˌrāt,1
m₂,2
pm₂c,1
日記と化したコメント達,2
俺のコードが最強説,1
いいから仕事しなよ,1
っていう,1
その他のクスリときたコメント達,1
🌟,1
🛀,1
,6
№,1
µ,2
